"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","State and Province","Duration","Growth Habit","Native Status","Bloom Period"
"ACARO2","","ACARO2","Acarospora","","Acarospora","","","","","","","","","","","","","","","","","","USA (AK, AR, AZ, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT)","","","",""
"ACER","","ACER","Acer","","Acer","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA (SPM)","","","",""
"ACGL","","ACGL","Acer glabrum","","Acer","","glabrum","","","","","","","","","","","Torr.","","","","","USA (AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)","Perennial","Tree, Shrub","L48 (N), AK (I?), CAN (N)","Late Spring"
"ACGLG2","","ACGLG2","Acer glabrum var. glabrum","","Acer","","glabrum","","","","var.","","glabrum","","","","","Torr.","Torr.","","","","USA (AZ, CO, ID, MT, NE, NM, NV, SD, UT, WY)","Perennial","Tree, Shrub","L48 (N)",""
"ACGLN2","","ACGLN2","Acer glabrum var. neomexicanum","","Acer","","glabrum","","","","var.","","neomexicanum","","","","","Torr.","(Greene) Kearney & Peebles","","","","USA (AZ, CO, NM, UT)","Perennial","Tree, Shrub","L48 (N)",""
"ACGR3","","ACGR3","Acer grandidentatum","","Acer","","grandidentatum","","","","","","","","","","","Nutt.","","","","","USA (AZ, CO, ID, MT, NM, NV, TX, UT, WA, WY)","Perennial","Tree, Shrub","L48 (N)","Spring"
"ACGRG","","ACGRG","Acer grandidentatum var. grandidentatum","","Acer","","grandidentatum","","","","var.","","grandidentatum","","","","","Nutt.","Nutt.","","","","USA (AZ, CO, ID, MT, NM, NV, TX, UT, WY)","Perennial","Tree, Shrub","L48 (N)",""
"ACNE2","","ACNE2","Acer negundo","","Acer","","negundo","","","","","","","","","","","L.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)","Perennial","Tree","L48 (N), CAN (N)","Early Spring"
"ACNEI2","","ACNEI2","Acer negundo var. interius","","Acer","","negundo","","","","var.","","interius","","","","","L.","(Britton) Sarg.","","","","USA (AZ, CA, CO, ID, KS, MN, MO, MT, ND, NE, NM, NV, OK, SD, UT, WA, WI, WY)","Perennial","Tree","L48 (N)",""
"ACNEN","","ACNEN","Acer negundo var. negundo","","Acer","","negundo","","","","var.","","negundo","","","","","L.","L.","","","","USA (AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)","Perennial","Tree","L48 (N), CAN (N)",""
"ACNEV","","ACNEV","Acer negundo var. violaceum","","Acer","","negundo","","","","var.","","violaceum","","","","","L.","(G. Kirchn.) H. Jaeger","","","","USA (CO, CT, IA, ID, IL, IN, KS, KY, MA, ME, MI, MN, MO, MT, ND, NE, NJ, NY, OH, OK, RI, SD, WA, WI, WY)","Perennial","Tree","L48 (N)",""
"ACHIL","","ACHIL","Achillea","","Achillea","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","","","",""
"ACMI2","","ACMI2","Achillea millefolium","","Achillea","","millefolium","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial","Forb/herb","L48 (NI), AK (N), HI (I), CAN (NI), GL (N), SPM (NI)","Early Summer"
"ACMIA","","ACMIA","Achillea millefolium var. alpicola","","Achillea","","millefolium","","","","var.","","alpicola","","","","","L.","(Rydb.) Garrett","","","","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Perennial","Forb/herb","L48 (N), AK (N)",""
"ACMIO","","ACMIO","Achillea millefolium var. occidentalis","","Achillea","","millefolium","","","","var.","","occidentalis","","","","","L.","DC.","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N), SPM (N)","Late Spring"
"ACHNA","","ACHNA","Achnatherum","","Achnatherum","","","","","","","","","","","","","","","","","","USA (AK, AR, AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB, SK, YT)","","","",""
"ACAR14","","ACAR14","Achnatherum aridum","","Achnatherum","","aridum","","","","","","","","","","","(M.E. Jones) Barkworth","","","","","USA (AZ, CA, CO, NM, NV, TX, UT)","Perennial","Graminoid","L48 (N)",""
"ACBL","","ACBL","Achnatherum ×bloomeri","","Achnatherum","×","bloomeri","","","","","","","","","","","(Bol.) Barkworth","","","","[hymenoides × occidentale]","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Perennial","Graminoid","L48 (N)",""
"ACCO22","","ACCO22","Achnatherum contractum","","Achnatherum","","contractum","","","","","","","","","","","(B.L. Johnson) Barkworth","","","","","USA (CO, MT, WY)","Perennial","Graminoid","L48 (N)",""
"ACHY","","ACHY","Achnatherum hymenoides","","Achnatherum","","hymenoides","","","","","","","","","","","(Roem. & Schult.) Barkworth","","","","","USA (AR, AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB, SK, YT)","Perennial","Graminoid","L48 (N), CAN (N)","Late Spring"
"ACLE9","","ACLE9","Achnatherum lettermanii","","Achnatherum","","lettermanii","","","","","","","","","","","(Vasey) Barkworth","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WY)","Perennial","Graminoid","L48 (N)","Summer"
"ACNE9","","ACNE9","Achnatherum nelsonii","","Achnatherum","","nelsonii","","","","","","","","","","","(Scribn.) Barkworth","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY), CAN (AB, BC, SK, YT)","Perennial","Graminoid","L48 (N), CAN (N)",""
"ACNED","","ACNED","Achnatherum nelsonii ssp. dorei","","Achnatherum","","nelsonii","ssp.","","dorei","","","","","","","","(Scribn.) Barkworth","(Barkworth & Maze) Barkworth","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY), CAN (AB, BC, SK, YT)","Perennial","Graminoid","L48 (N), CAN (N)","Early Summer"
"ACNEN2","","ACNEN2","Achnatherum nelsonii ssp. nelsonii","","Achnatherum","","nelsonii","ssp.","","nelsonii","","","","","","","","(Scribn.) Barkworth","(Scribn.) Barkworth","","","","USA (AZ, CO, ID, MT, NM, NV, UT, WY), CAN (SK)","Perennial","Graminoid","L48 (N), CAN (N)",""
"ACNE10","","ACNE10","Achnatherum nevadense","","Achnatherum","","nevadense","","","","","","","","","","","(B.L. Johnson) Barkworth","","","","","USA (CA, CO, ID, NV, OR, UT, WY)","Perennial","Graminoid","L48 (N)",""
"ACOC3","","ACOC3","Achnatherum occidentale","","Achnatherum","","occidentale","","","","","","","","","","","(Thurb.) Barkworth","","","","","USA (AZ, CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC)","Perennial","Graminoid","L48 (N), CAN (N)",""
"ACOCP","","ACOCP","Achnatherum occidentale ssp. pubescens","","Achnatherum","","occidentale","ssp.","","pubescens","","","","","","","","(Thurb.) Barkworth","(Vasey) Barkworth","","","","USA (AZ, CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC)","Perennial","Graminoid","L48 (N), CAN (N)",""
"ACPI2","","ACPI2","Achnatherum pinetorum","","Achnatherum","","pinetorum","","","","","","","","","","","(M.E. Jones) Barkworth","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WY)","Perennial","Graminoid","L48 (N)",""
"ACRI8","","ACRI8","Achnatherum richardsonii","","Achnatherum","","richardsonii","","","","","","","","","","","(Link) Barkworth","","","","","USA (AK, CO, ID, MT, SD, WA, WY), CAN (AB, BC, MB, SK, YT)","Perennial","Graminoid","L48 (N), AK (I), CAN (N)",""
"ACRO7","","ACRO7","Achnatherum robustum","","Achnatherum","","robustum","","","","","","","","","","","(Vasey) Barkworth","","","","","USA (AZ, CO, KS, NE, NM, SD, TX, WY)","Perennial","Graminoid","L48 (N)",""
"ACSC11","","ACSC11","Achnatherum scribneri","","Achnatherum","","scribneri","","","","","","","","","","","(Vasey) Barkworth","","","","","USA (CO, NM, OK, TX, WY)","Perennial","Graminoid","L48 (N)",""
"ACSP12","","ACSP12","Achnatherum speciosum","","Achnatherum","","speciosum","","","","","","","","","","","(Trin. & Rupr.) Barkworth","","","","","USA (AZ, CA, CO, NM, NV, OR, UT)","Perennial","Graminoid","L48 (N)","Late Spring"
"ACTH7","","ACTH7","Achnatherum thurberianum","","Achnatherum","","thurberianum","","","","","","","","","","","(Piper) Barkworth","","","","","USA (CA, CO, ID, MT, NV, OR, UT, WA, WY)","Perennial","Graminoid","L48 (N)","Mid Spring"
"ACWE3","","ACWE3","Achnatherum webberi","","Achnatherum","","webberi","","","","","","","","","","","(Thurb.) Barkworth","","","","","USA (CA, CO, ID, NV, OR, SD, UT)","Perennial","Graminoid","L48 (N)",""
"ACONI","","ACONI","Aconitum","","Aconitum","","","","","","","","","","","","","","","","","","USA (AK, AL, AZ, CA, CO, CT, DC, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NM, NV, NY, OH, OR, PA, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, NB, NF, NS, NT, ON, QC, YT)","","","",""
"ACCO4","","ACCO4","Aconitum columbianum","","Aconitum","","columbianum","","","","","","","","","","","Nutt.","","","","","USA (AZ, CA, CO, IA, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (BC)","Perennial","Forb/herb","L48 (N), CAN (N)","Early Summer"
"ACCOC3","","ACCOC3","Aconitum columbianum ssp. columbianum","","Aconitum","","columbianum","ssp.","","columbianum","","","","","","","","Nutt.","Nutt.","","","","USA (AZ, CA, CO, IA, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (BC)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"ACORU","","ACORU","Acorus","","Acorus","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK)","","","",""
"ACCA4","","ACCA4","Acorus calamus","","Acorus","","calamus","","","","","","","","","","","L.","","","","","USA (AL, AR, CA, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), CAN (MB, NB, NS, ON, PE, QC)","Perennial","Forb/herb","L48 (I), CAN (I)","Late Spring"
"ACROP","","ACROP","Acroptilon","","Acroptilon","","","","","","","","","","","","","","","","","","USA (AR, AZ, CA, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, NV, OH, OK, OR, SD, TX, UT, WA, WI, WY), CAN (AB, BC, MB, ON, SK)","","","",""
"ACRE3","","ACRE3","Acroptilon repens","","Acroptilon","","repens","","","","","","","","","","","(L.) DC.","","","","","USA (AR, AZ, CA, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, NV, OH, OK, OR, SD, TX, UT, WA, WI, WY), CAN (AB, BC, MB, ON, SK)","Perennial","Forb/herb","L48 (I), CAN (I)",""
"ACTAE","","ACTAE","Actaea","","Actaea","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)","","","",""
"ACRU2","","ACRU2","Actaea rubra","","Actaea","","rubra","","","","","","","","","","","(Aiton) Willd.","","","","","USA (AK, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"ACRUA8","","ACRUA8","Actaea rubra ssp. arguta","","Actaea","","rubra","ssp.","","arguta","","","","","","","","(Aiton) Willd.","(Nutt.) Hultén","","","","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"ADIAN","","ADIAN","Adiantum","","Adiantum","","","","","","","","","","","","","","","","","","USA (, AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, NB, NF, NS, ON, QC)","","","",""
"ADAL","","ADAL","Adiantum aleuticum","","Adiantum","","aleuticum","","","","","","","","","","","(Rupr.) Paris","","","","","USA (AK, AZ, CA, CO, ID, MD, ME, MI, MT, NV, OR, PA, UT, VT, WA, WV, WY), CAN (AB, BC, NF, QC)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"ADCA","","ADCA","Adiantum capillus-veneris","","Adiantum","","capillus-veneris","","","","","","","","","","","L.","","","","","USA (AL, AR, AZ, CA, CO, FL, GA, HI, KY, LA, MD, MO, MS, NC, NM, NV, OH, OK, SC, SD, TN, TX, UT, VA), USA+ (PR), CAN (BC)","Perennial","Forb/herb","L48 (N), HI (N), PR (N), CAN (N)","Summer"
"ADOXA","","ADOXA","Adoxa","","Adoxa","","","","","","","","","","","","","","","","","","USA (AK, CO, IA, IL, MN, MT, NM, NY, SD, UT, WI, WY), CAN (AB, BC, MB, NT, ON, SK, YT)","","","",""
"ADMO","","ADMO","Adoxa moschatellina","","Adoxa","","moschatellina","","","","","","","","","","","L.","","","","","USA (AK, CO, IA, IL, MN, MT, NM, NY, SD, UT, WI, WY), CAN (AB, BC, MB, NT, ON, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"AEGIL","","AEGIL","Aegilops","","Aegilops","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, IA, ID, IL, IN, KS, KY, LA, MD, MI, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, WA, WV, WY)","","","",""
"AECY","","AECY","Aegilops cylindrica","","Aegilops","","cylindrica","","","","","","","","","","","Host","","","","","USA (AL, AR, AZ, CA, CO, IA, ID, IL, IN, KS, KY, LA, MI, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, WA, WV, WY)","Annual","Graminoid","L48 (I)",""
"AGALI","","AGALI","Agalinis","","Agalinis","","","","","","","","","","","","","","","","","","USA (AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), USA+ (PR), CAN (MB, NB, NS, ON, QC)","","","",""
"AGTE3","","AGTE3","Agalinis tenuifolia","","Agalinis","","tenuifolia","","","","","","","","","","","(Vahl) Raf.","","","","","USA (AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (MB, NB, ON, QC)","Annual","Forb/herb","L48 (N), CAN (N)",""
"AGTEP2","","AGTEP2","Agalinis tenuifolia var. parviflora","","Agalinis","","tenuifolia","","","","var.","","parviflora","","","","","(Vahl) Raf.","(Nutt.) Pennell","","","","USA (CO, IA, IL, IN, KS, MA, MI, MN, MO, ND, NE, NM, NY, OH, OK, SD, TX, VT, WI, WY), CAN (MB, ON, QC)","Annual","Forb/herb","L48 (N), CAN (N)",""
"AGAST","","AGAST","Agastache","","Agastache","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NT, ON, QC, SK)","","","",""
"AGFO","","AGFO","Agastache foeniculum","","Agastache","","foeniculum","","","","","","","","","","","(Pursh) Kuntze","","","","","USA (CO, CT, DE, IA, IL, KY, MI, MN, MT, ND, NE, NH, NJ, NY, PA, SD, WA, WI, WY), CAN (AB, BC, MB, NB, NT, ON, QC, SK)","Perennial","Subshrub, Forb/herb","L48 (N), CAN (N)",""
"AGPA","","AGPA","Agastache pallidiflora","","Agastache","","pallidiflora","","","","","","","","","","","(A. Heller) Rydb.","","","","","USA (AZ, CO, NM, TX)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"AGPAP2","","AGPAP2","Agastache pallidiflora ssp. pallidiflora","","Agastache","","pallidiflora","ssp.","","pallidiflora","","","","","","","","(A. Heller) Rydb.","(A. Heller) Rydb.","","","","USA (AZ, CO, NM)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"AGPAG4","","AGPAG4","Agastache pallidiflora ssp. pallidiflora var. greenei","","Agastache","","pallidiflora","ssp.","","pallidiflora","var.","","greenei","","","","","(A. Heller) Rydb.","(A. Heller) Rydb.","(Briq.) R.W. Sanders","","","USA (AZ, CO, NM)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"AGUR","","AGUR","Agastache urticifolia","","Agastache","","urticifolia","","","","","","","","","","","(Benth.) Kuntze","","","","","USA (CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (BC)","Perennial","Subshrub, Forb/herb","L48 (N), CAN (N)","Late Spring"
"AGURU","","AGURU","Agastache urticifolia var. urticifolia","","Agastache","","urticifolia","","","","var.","","urticifolia","","","","","(Benth.) Kuntze","(Benth.) Kuntze","","","","USA (CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (BC)","Perennial","Subshrub, Forb/herb","L48 (N), CAN (N)",""
"AGERA2","","AGERA2","Ageratina","","Ageratina","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV), USA+ (PR), CAN (NB, NS, NT, ON, QC)","","","",""
"AGHE5","","AGHE5","Ageratina herbacea","","Ageratina","","herbacea","","","","","","","","","","","(A. Gray) R.M. King & H. Rob.","","","","","USA (AZ, CA, CO, NM, NV, TX, UT)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"AGOSE","","AGOSE","Agoseris","","Agoseris","","","","","","","","","","","","","","","","","","USA (AK, AZ, CA, CO, IA, ID, KS, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, MB, NT, ON, QC, SK, YT)","","","",""
"AGAU2","","AGAU2","Agoseris aurantiaca","","Agoseris","","aurantiaca","","","","","","","","","","","(Hook.) Greene","","","","","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, NT, QC, YT)","Perennial","Subshrub, Forb/herb","L48 (N), AK (N), CAN (N)","Mid Spring"
"AGAUA","","AGAUA","Agoseris aurantiaca var. aurantiaca","","Agoseris","","aurantiaca","","","","var.","","aurantiaca","","","","","(Hook.) Greene","(Hook.) Greene","","","","USA (AK, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, NT, QC, YT)","Perennial","Subshrub, Forb/herb","L48 (N), AK (N), CAN (N)",""
